ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates,iso_region_len
US-0770,small_airport,Goins Airport,660.0,,US,US-WI,TWO RIVERS,99WI,,99WI,"-87.631388, 44.179166",5
US-0772,small_airport,Wildcat Airport,2385.0,,US,US-TX,STERLING CITY,46TE,,46TE,"-101.06, 31.849722",5
US-0776,small_airport,Itll Do Airfield,153.0,,US,US-TX,SANDIA,1XS0,,1XS0,"-97.894114, 27.990591",5
US-0777,small_airport,Dow Ranch Airport,330.0,,US,US-TX,KERENS,63TX,,63TX,"-96.177127, 32.010311",5
US-0778,small_airport,Flying L Airport,1901.0,,US,US-WA,GLENWOOD,10WA,,10WA,"-121.274985, 46.0248",5
US-0780,small_airport,Paducah Airport,1981.0,,US,US-TX,PADUCAH,2TS5,,2TS5,"-100.343611, 34.023333",5
US-0783,small_airport,Colvin Airport,720.0,,US,US-OH,BELLEVUE,OH86,,OH86,"-82.828802, 41.345256",5
US-0784,small_airport,Glenwood Field,1265.0,,US,US-SD,BERESFORD,SD29,,SD29,"-96.876605, 43.000891",5
US-0785,small_airport,Rock Ridge Airport,1290.0,,US,US-OK,BLANCHARD,2OK3,,2OK3,"-97.742605, 35.098644",5
US-0786,small_airport,Fourth Creek Ranch Airport,2702.0,,US,US-TX,BOOKER,TS79,,TS79,"-100.396608, 36.324061",5
US-0787,small_airport,White Field Airport,43.0,,US,US-FL,BRANFORD,FD95,,FD95,"-82.925027, 29.974944",5
US-0790,small_airport,Field of Dreams Airport,90.0,,US,US-FL,DADE CITY,FD59,,FD59,"-82.240916, 28.470277",5
US-0803,small_airport,Red Oak Airport,745.0,,US,US-MO,OWENSVILLE,MO48,,MO48,"-91.421386, 38.337308",5
US-0804,small_airport,Big Creek Ranch Airstrip,882.0,,US,US-OK,SOUTH COFFEYVILLE,OK88,,OK88,"-95.463297, 36.914455",5
US-0805,small_airport,Twin Cities,,,US,US-U-A,"TABOR CITY,NC",K5J9,,,"0, 0",6
US-0806,small_airport,Pro Agri Airport,3471.0,,US,US-TX,ROPESVILLE,TS84,,TS84,"-102.314005, 33.401761",5
US-0807,small_airport,M & M Airfield,530.0,,US,US-NY,ROME,NY53,,NY53,"-75.401271, 43.183793",5
